episode,shared_return,tabular_return,shared_length,tabular_length
1,-10.31,-11.33,10.31,11.33
2,-16.97,-12.115,16.97,12.115
3,-21.955,-9.34,21.955,9.34
4,-23.545,-9.25,23.545,9.25
5,-27.915,-8.92,27.915,8.92
6,-26.575,-9.03,26.575,9.03
7,-25.45,-7.295,25.45,7.295
8,-22.805,-7.9,22.805,7.9
9,-25.575,-6.925,25.575,6.925
10,-22.605,-7.69,22.605,7.69
11,-24.87,-5.1,24.87,5.1
12,-22.545,-5.67,22.545,5.67
13,-21.46,-5.485,21.46,5.485
14,-21.065,-5.165,21.065,5.165
15,-21.375,-5.575,21.375,5.575
16,-20.93,-5.17,20.93,5.17
17,-19.58,-5.01,19.58,5.01
18,-19.695,-4.895,19.695,4.895
19,-18.9,-5.035,18.9,5.035
20,-18.9,-5.025,18.9,5.025
21,-19.305,-4.485,19.305,4.485
22,-18.175,-4.39,18.175,4.39
23,-18.435,-4.32,18.435,4.32
24,-18.815,-4.3,18.815,4.3
25,-18.845,-4.235,18.845,4.235
26,-17.395,-4.21,17.395,4.21
27,-17.675,-4.145,17.675,4.145
28,-17.88,-4.38,17.88,4.38
29,-17.29,-4.215,17.29,4.215
30,-17.575,-4.135,17.575,4.135
31,-17.12,-4.175,17.12,4.175
32,-17.45,-3.925,17.45,3.925
33,-17.19,-3.98,17.19,3.98
34,-17.095,-3.83,17.095,3.83
35,-16.96,-3.91,16.96,3.91
36,-16.56,-3.95,16.56,3.95
37,-17.14,-3.895,17.14,3.895
38,-16.945,-3.855,16.945,3.855
39,-16.835,-3.7,16.835,3.7
40,-17.015,-3.825,17.015,3.825
41,-16.815,-3.86,16.815,3.86
42,-15.93,-3.87,15.93,3.87
43,-16.165,-3.625,16.165,3.625
44,-16.29,-3.77,16.29,3.77
45,-16.08,-3.645,16.08,3.645
46,-16.145,-3.78,16.145,3.78
47,-15.945,-3.7,15.945,3.7
48,-15.72,-3.635,15.72,3.635
49,-15.955,-3.66,15.955,3.66
50,-15.715,-3.615,15.715,3.615
51,-15.81,-3.665,15.81,3.665
52,-15.91,-3.695,15.91,3.695
53,-15.635,-3.78,15.635,3.78
54,-15.79,-3.56,15.79,3.56
55,-15.725,-3.57,15.725,3.57
56,-15.795,-3.605,15.795,3.605
57,-15.86,-3.585,15.86,3.585
58,-15.8,-3.5,15.8,3.5
59,-15.91,-3.58,15.91,3.58
60,-15.71,-3.565,15.71,3.565
61,-15.605,-3.535,15.605,3.535
62,-15.6,-3.545,15.6,3.545
63,-15.71,-3.715,15.71,3.715
64,-15.525,-3.545,15.525,3.545
65,-15.635,-3.55,15.635,3.55
66,-15.58,-3.56,15.58,3.56
67,-15.42,-3.56,15.42,3.56
68,-15.61,-3.535,15.61,3.535
69,-15.53,-3.505,15.53,3.505
70,-15.595,-3.53,15.595,3.53
71,-15.54,-3.51,15.54,3.51
72,-15.635,-3.595,15.635,3.595
73,-15.445,-3.525,15.445,3.525
74,-15.375,-3.535,15.375,3.535
75,-15.675,-3.5,15.675,3.5
76,-15.475,-3.42,15.475,3.42
77,-15.445,-3.475,15.445,3.475
78,-15.325,-3.465,15.325,3.465
79,-15.52,-3.515,15.52,3.515
80,-15.525,-3.465,15.525,3.465
81,-15.5,-3.52,15.5,3.52
82,-15.54,-3.54,15.54,3.54
83,-15.435,-3.435,15.435,3.435
84,-15.56,-3.425,15.56,3.425
85,-15.38,-3.42,15.38,3.42
86,-15.24,-3.4,15.24,3.4
87,-15.41,-3.48,15.41,3.48
88,-15.315,-3.44,15.315,3.44
89,-15.38,-3.35,15.38,3.35
90,-15.4,-3.425,15.4,3.425
91,-15.375,-3.49,15.375,3.49
92,-15.425,-3.45,15.425,3.45
93,-15.4,-3.39,15.4,3.39
94,-15.475,-3.46,15.475,3.46
95,-15.51,-3.36,15.51,3.36
96,-15.405,-3.34,15.405,3.34
97,-15.4,-3.515,15.4,3.515
98,-15.42,-3.34,15.42,3.34
99,-15.265,-3.41,15.265,3.41
100,-15.41,-3.39,15.41,3.39
101,-15.24,-3.39,15.24,3.39
102,-15.365,-3.4,15.365,3.4
103,-15.28,-3.39,15.28,3.39
104,-15.2,-3.42,15.2,3.42
105,-15.33,-3.41,15.33,3.41
106,-15.37,-3.44,15.37,3.44
107,-15.335,-3.285,15.335,3.285
108,-15.3,-3.41,15.3,3.41
109,-15.18,-3.335,15.18,3.335
110,-15.32,-3.405,15.32,3.405
111,-15.235,-3.35,15.235,3.35
112,-15.455,-3.38,15.455,3.38
113,-15.23,-3.385,15.23,3.385
114,-15.455,-3.315,15.455,3.315
115,-15.165,-3.26,15.165,3.26
116,-15.245,-3.42,15.245,3.42
117,-15.25,-3.385,15.25,3.385
118,-15.31,-3.35,15.31,3.35
119,-15.4,-3.33,15.4,3.33
120,-15.32,-3.345,15.32,3.345
121,-14.66,-3.24,14.66,3.24
122,-15.205,-3.325,15.205,3.325
123,-15.3,-3.395,15.3,3.395
124,-15.235,-3.28,15.235,3.28
125,-15.215,-3.265,15.215,3.265
126,-15.155,-3.46,15.155,3.46
127,-15.42,-3.25,15.42,3.25
128,-15.235,-3.33,15.235,3.33
129,-15.3,-3.32,15.3,3.32
130,-15.21,-3.405,15.21,3.405
131,-15.255,-3.36,15.255,3.36
132,-15.19,-3.275,15.19,3.275
133,-15.265,-3.395,15.265,3.395
134,-15.27,-3.345,15.27,3.345
135,-15.25,-3.285,15.25,3.285
136,-15.135,-3.375,15.135,3.375
137,-15.17,-3.28,15.17,3.28
138,-15.21,-3.42,15.21,3.42
139,-15.15,-3.255,15.15,3.255
140,-15.13,-3.31,15.13,3.31
141,-15.245,-3.385,15.245,3.385
142,-15.235,-3.37,15.235,3.37
143,-15.25,-3.21,15.25,3.21
144,-15.275,-3.295,15.275,3.295
145,-15.175,-3.35,15.175,3.35
146,-15.055,-3.25,15.055,3.25
147,-15.175,-3.275,15.175,3.275
148,-15.145,-3.31,15.145,3.31
149,-15.185,-3.255,15.185,3.255
150,-15.255,-3.22,15.255,3.22
151,-15.145,-3.295,15.145,3.295
152,-14.3,-3.24,14.3,3.24
153,-15.325,-3.29,15.325,3.29
154,-15.17,-3.265,15.17,3.265
155,-15.18,-3.155,15.18,3.155
156,-15.295,-3.3,15.295,3.3
157,-15.135,-3.255,15.135,3.255
158,-14.745,-3.365,14.745,3.365
159,-15.345,-3.305,15.345,3.305
160,-14.145,-3.24,14.145,3.24
161,-14.195,-3.25,14.195,3.25
162,-14.36,-3.23,14.36,3.23
163,-14.16,-3.295,14.16,3.295
164,-14.31,-3.255,14.31,3.255
165,-14.235,-3.38,14.235,3.38
166,-13.375,-3.37,13.375,3.37
167,-13.32,-3.36,13.32,3.36
168,-13.21,-3.22,13.21,3.22
169,-13.305,-3.325,13.305,3.325
170,-13.14,-3.225,13.14,3.225
171,-13.265,-3.24,13.265,3.24
172,-13.21,-3.265,13.21,3.265
173,-13.195,-3.365,13.195,3.365
174,-13.32,-3.23,13.32,3.23
175,-13.095,-3.215,13.095,3.215
176,-13.19,-3.255,13.19,3.255
177,-13.16,-3.255,13.16,3.255
178,-13.25,-3.3,13.25,3.3
179,-13.18,-3.205,13.18,3.205
180,-13.165,-3.19,13.165,3.19
181,-13.22,-3.195,13.22,3.195
182,-13.285,-3.19,13.285,3.19
183,-13.125,-3.285,13.125,3.285
184,-13.29,-3.265,13.29,3.265
185,-13.105,-3.22,13.105,3.22
186,-13.155,-3.16,13.155,3.16
187,-13.265,-3.255,13.265,3.255
